id,sku,description,model_number
1,18240505,IPAD PRO 12.9IN WIFI 64GB GRAY,MQDA2LL/A
1,18240507,IPADPRO 12.9IN WIFI 64GB SLVER,MQDC2LL/A
1,18240508,IPAD PRO 12.9IN WIFI 64GB GLD,MQDD2LL/A
1,18240509,IPAD PRO 12.9IN WIFI 256GB GRY,MP6G2LL/A
1,18240510,IPADPRO 12.9-IN WIFI 256GB SLV,MP6H2LL/A
1,18240511,IPAD PRO 12.9IN WIFI 256GB GLD,MP6J2LL/A
1,18240512,IPADPRO 12.9-IN WIFI 512GB GRY,MPKY2LL/A
1,18240513,IPADPRO 12.9-IN WIFI 512GB SLV,MPL02LL/A
1,18240514,IPADPRO 12.9-INWI-FI 512GB GLD,MPL12LL/A
1,18240515,IPADPRO 12.9 WIFCELL 64GB GRAY,MQED2LL/A
1,18240516,IPADPRO12.9 WIFICELL64GB SLVR,MQEE2LL/A
1,18240517,IPADPRO 12.9 WIFCELL 64GB GOLD,MQEF2LL/A
1,18240518,IPADPRO 12.9 WIFICELL256GB GRY,MPA42LL/A
1,18240520,IPADPRO 12.9 WIFCELL256GB SLVR,MPA52LL/A
1,18240521,IPADPRO 12.9 WIFCELL256GB GOLD,MPA62LL/A
1,18240528,IPADPRO12.9 WIFCELL 512GB GRAY,MPLJ2LL/A
1,18240553,IPADPRO12.9 WIFCELL 512GB SLVR,MPLK2LL/A
1,18240578,IPADPRO12.9 WIFCELL 512GB GOLD,MPLL2LL/A
1,18339954,MS SURFACEP M 4GB 128GB BUND,2017 Surface Pro
1,18339955,MS SURFACEP I5 4GB 128GB BUND,2017 Surface Pro
1,18339956,MS SURFACEP I5 8GB 256GB BUND,2017 Surface Pro
1,17999486,IPAD 9.7 WIFI 128GB GOLD,MPGW2LL/A
